Submitted by,Submitted at,ID,point,feelings,sense,picture,latitude,longitude,Instance ID,class
32,BorgoFuturo,Tl17,Flash,Flash,vista,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3A6a60cff9-2a78-4545-baa9-1b17e62288dc/attachments/1562273235156.jpg,13.3563388,43.1635137,6a60cff9-2a78-4545-baa9-1b17e62288dc,colore
31,BorgoFuturo,Tl17,Madunina,Sguardo,vista,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3A85611a14-0ea1-422d-bd40-55af61ad18cf/attachments/1562262803579.jpg,13.361148,43.1632525,85611a14-0ea1-422d-bd40-55af61ad18cf,monumento
30,BorgoFuturo,Tl17,Nodi,,vista,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3A078f75f9-efac-48d6-af87-88d0c2567161/attachments/1562262348849.jpg,13.361852,43.1608096,078f75f9-efac-48d6-af87-88d0c2567161,piante
29,BorgoFuturo,Tl17,Rosso,Rosso,vista,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3A945aa8c7-3207-4e1b-8ef9-dbe48c5ac988/attachments/1562262242997.jpg,13.3623723,43.1602588,945aa8c7-3207-4e1b-8ef9-dbe48c5ac988,colore
28,BorgoFuturo,Tl17,Geometria,Ripetizione,vista,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3Adf9472f0-ebd3-4b4b-8dce-8b2fe7bd9db6/attachments/1562262107860.jpg,13.3628114,43.1597628,df9472f0-ebd3-4b4b-8dce-8b2fe7bd9db6,antropico
27,BorgoFuturo,Tl17,Verde,Verde,vista,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3A3651ace9-1f27-4fb0-a2ec-2356019b54b6/attachments/1562261806188.jpg,13.3650251,43.1589917,3651ace9-1f27-4fb0-a2ec-2356019b54b6,colore
26,BorgoFuturo,Tl17,Giallo,Giallo,vista,,13.3688144,43.1545235,6ea03e17-d5ab-4cf5-ab93-054b2372d34e,colore
24,BorgoFuturo,VV00,Party,Party,udito vista olfatto gusto tatto,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3Ac0e7483a-b9da-4bc5-863a-fb3a15773308/attachments/1562275135347.jpg,13.3561481,43.1636204,c0e7483a-b9da-4bc5-863a-fb3a15773308,attrazione
23,BorgoFuturo,VV00,Calci in culo a pedali,Entusiasmo,vista udito,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3A9c672921-d238-49e5-a5a4-e614e169baf8/attachments/1562265552682.jpg,13.3566698,43.1634305,9c672921-d238-49e5-a5a4-e614e169baf8,attrazione
22,BorgoFuturo,VV00,Forza Milan Juve merda,Sorpresa,vista,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3A4dfe1ba0-d63c-468c-8f07-3d507a366ae0/attachments/1562262222164.jpg,13.3621981,43.1603687,4dfe1ba0-d63c-468c-8f07-3d507a366ae0,antropico
21,BorgoFuturo,VV00,Vigne giovani,Sete,vista,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3A7ae915a8-4490-4d1f-b12a-40a313090223/attachments/1562262027538.jpg,13.3635274,43.159501,7ae915a8-4490-4d1f-b12a-40a313090223,piante
20,BorgoFuturo,VV00,Mietitrebbia all orizzonte,Fascino,vista,https://odk.comunidados.org/v1/projects/2/forms/build_PASSEGGIATA-Ripe-San-Ginesio-Colmurano_1562254294/submissions/uuid%3A33807f93-a0cc-4887-9efe-157be86c515c/attachments/1562261653550.jpg,13.3656206,43.1585825,33807f93-a0cc-4887-9efe-157be86c515c,antropico
